"0" en hexa				= 30
1 octet					= 255 pour écrire
porte logique ayant 4 entrées		= non
NAND					= /(A.B)
taille char				= 1 byte
symboles base 2				= 2
NTFS					= New Techno FileSystem
octet					= 8 bits
IP					= Internet Proto
Man in the middle			= une attaque
FQDN					= Fully Qualified Domain Name
TCP/IP					= 1989
algo Dijkstra				= résoudre chemin le plus court 
DVD en					= 1996
concept de Boole			= algèbre de Boole
Archi Von Neumann			= structuration de stockage
1ère codeuse				= Ada
CD-R en					= 1988
pq avancé techno			= contexte historique 
Ada est   	   	    		= mathématicienne
industrie aborder prog			= textile
quel non péri caractere			= carte vidéo 
quel non péri entrée		  	= disque dur 
quelle fausse			   	= hardware sans software
unité centrale basé sur			= Von Neumann
ROM					= mémoire morte
quantifier un microprocesseur		= la fréquence
mémoire + petite			= registres
utilité entrée / sortie		= transferer les info
non messagerie 	 	  	= NTP
2 buts syst exploi		= machine virtu et gerer ressources
option ssh  	        	= i
non funct syst exploi		= 
processus				= prog en cours d'exec
Windows syst embarqué 	     	= CE
syst exploi modulaire		= micronoyau
commande pf				= 
DNS					= PCRE
que manque t il			= un FAI
OSI couche adresssage/routage	= réseau
NOT 	   				= / devant variable
NOR					= /(A+B)
à ASCII				= non
valeurs base 16			= 0 a F
porte logique sorties		= 1
teraoctet     			= 10^12
SSII					= Societe de Service d'Ingenierie en Informatique
kilooctet				= 1000
exaoctet				= 10^18
SSH					= protocole et programme
premier ordi nom			= ENIAC
base premier syst prog		= carte perfo
constru info services		= HP DELL
Douglas Engelbart			= ARPANET
ENIAC					= Turing-complet
test ia				= Alan Turing
premier email			= 1971
BUG vient				= court-circuit
syst exploi plus ancien		= Unix
info de memoire en 		= binaire
mot memoire				= 2 ou 4 octet
memoire plus lente d'acces	= ROM
langage machine	   		= unite de controle
RAM					= memoire vive
memoire acces direct a l'info	= l'adresse
synchro compo unit centrale	= l'horloge
UAL	      	   		= Unite Arithmétique et Logique
kernel				= noyau
syst exploi mult utili necessi= une gestion de droit
partie qui gere plusieurs os	= moniteur de machine virtuelle
lequel os plusieurs couches	= Linux
struc monolithique  		= un bloc qui contient tous les prog
LAN   				= reseau local
ordre correct			= physique > liaison > reseau...
numéro port HTTP			= 80
proto envoyer courrier		= STMP
table verité  			= donner valeurs variables de sorties en foncntion d'entrée
ASCII 10 en décimal		= \n
decompo suivant une base puiss= rang
D en héxa	    	 		= 13
AFS  					= Andrew FileSysteme
adresse MAC				= Media Access control
ARPA					= Advanced Research Projects Agency
AFP					= Apple Filing Protocol
base syst décimal			= 10
AES  	  				= Advanced Encryption Systeme
poids ENIAC				= 30 tonnes
1er apple				= 1976
RAM vraie				= contenu volatile
bus 					= moyen de transport de données
pas un périphérique		= ordinateur
registre				= zone memoire reduite et rapide
pas périphérique de sortie	= clé usb
machine virtuelle   		= plusieurs os sur machine physique
MS-DOS				= monotache
syst exploitation nécessaire	= non
syst exploi temps réel		= temps exec d'un prog fixe
fonction non faite par noyau OS= comm entre humain et machine
masque sous reseau sert	     	= diviser en 2 ss rsx un reseau
fonction d'un routeur 		= trouver route pour atteindre destinataire
meilleur débit			= fibre optique
VLAN	 				= virtual LAN reseau virtuel
WCF					= Windows Communication Fondation
BIOS					= Basic Imput/Output system
NMSLOOCKUP				= nslookup interroge les serveurs DNS pour obtenir soit l'adresse IP en fonction d'un nom de domaine, soit l'inverse.
GNU					= is not unix
WWW					= World Wide Web
IPP					= Internet Printing Protocol
NAGIOS					= Monitoring System
URL					= Uniform Resource Locator
FTP					= File Transfer Protocol
JFS					= Journaled File System
SNMP					= Simple Network Management Protocol
serveur ip et mac 		= DCHP
serveur domaine et ip		= DNS
Puffy mascote	   		= Open BSD
pas vital au démarage d'ordi	= carte graphique
HD Ready     	     		= 720p
Full HD				= 1920 x 1080
petaoctet				= 10^15
taille d'un short			= 16 bits
taille d'un int			= 32 bits
Que donne 0xD3ADCAFE en octal	= 0323533453761
retourn  malloc en cas d'echec= NULL
pas un antivirus       		= Spybot
logiciel est pas un SGDB  	= Firesql
